claim,evidence,label
Ronald Reagan gave a speech at the University of Massachusetts.,,NEI
Tiger Woods reached number three ranking in the world in 1997.,,NEI
"Brock Lesnar signed with Hero's, a Japanese mixed martial arts promotion.",,NEI
Ramzan Kadyrov did not establish the Ramzan Kadyrov & Adlan Varayev Cup.,"It is reported that Kadyrov has promised to `` eliminate '' the gay population of deeply conservative , Muslim Chechnya before the Islamic holy month of Ramadan starts , at the end of May 2017 .",REFUTES
Casey Ryback is a melodramatic villain.,Casey Ryback is a fictional character and action hero from the Under Siege films of the 1990s . Under Siege Under Siege action hero action hero,REFUTES
Arkham Asylum's patients only include Clayface.,,REFUTES
Will Ferrell received an Emmy Award nomination in 2005.,"Ferrell received a star on the Hollywood Walk of Fame on March 26 , 2015 . Hollywood Walk of Fame Hollywood Walk of Fame",SUPPORTS
Aneurin Barnard died in 1985.,,NEI
Huntington's disease is caused by inheritance in 90% of cases.,,NEI
International Relations only includes the entertainment industry.,"International relations -LRB- IR -RRB- or international affairs , depending on academic institution , is either a field of political science , an interdisciplinary academic field similar to global studies , or an entirely independent academic discipline in which students take a variety of internationally focused courses in social science and humanities disciplines . political science political science interdisciplinary interdisciplinarity global studies global studies discipline Discipline (academia) social science social science humanities humanities academic academic In both cases , the field studies relationships between political entities -LRB- polities -RRB- such as states , sovereign states , empires , inter-governmental organizations -LRB- IGOs -RRB- , international non-governmental organizations -LRB- INs -RRB- , non-governmental organizations -LRB- NGOs -RRB- , and multinational corporations -LRB- MNCs -RRB- , and the wider world-systems produced by this interaction . polities polity states state (polity) inter-governmental organizations international organization International relations is an academic and a public policy field , and so can be positive and normative , because it analyzes and formulates the foreign policy of a given State . academic academic public policy public policy positive Positive statement normative Normative statement foreign policy foreign policy",REFUTES
Julius Caesar crossed many politicians.,,NEI
Nikolaj Coster-Waldau is an actor.,"Nikolaj Coster-Waldau -LRB- -LSB- neɡ̊olaɪ̯ kʰʌsd̥ɐ ˈʋald̥ɑʊ̯ -RSB- ; born 27 July 1970 -RRB- is a Danish actor , producer and screenwriter . Coster-Waldau 's breakthrough performance in Denmark was his role in the film Nightwatch -LRB- 1994 -RRB- . Nightwatch Nightwatch (1994 film) Since then he has appeared in numerous films in his native Scandinavia and Europe in general , including Headhunters -LRB- 2011 -RRB- and A Thousand Times Good Night -LRB- 2013 -RRB- . Headhunters Headhunters (film) A Thousand Times Good Night A Thousand Times Good Night He became widely known to a broad audience for his current role as Ser Jaime Lannister , in the HBO series Game of Thrones . Jaime Lannister Jaime Lannister HBO HBO Game of Thrones Game of Thrones In 2017 , he became one of the highest paid actors on television and earned # 2 million per episode of Game of Thrones . Game of Thrones Game of Thrones highest paid actors on television List of highest paid American television stars",SUPPORTS
Thirteen was written by Nikki Reed.,"Thirteen is a 2003 American semi-autobiographical drama film , directed by Catherine Hardwicke , and written by Hardwicke and Nikki Reed , based on events from Reed 's life at age 12 and 13 . Catherine Hardwicke Catherine Hardwicke Nikki Reed Nikki Reed American United States semi-autobiographical autobiographical novel drama drama film",SUPPORTS
"H. H. Holmes's date of birth was May 8th, 1861.","Herman Webster Mudgett -LRB- May 16 , 1861 -- May 7 , 1896 -RRB- , better known under the name of Dr. Henry Howard Holmes or more commonly H. H. Holmes , was one of the first documented serial killers in the modern sense of the term . serial killers serial killers",REFUTES
Richard Nixon's wife's name was Ryan.,,NEI
Bad and Boujee includes Lil Uzi Vert.,"The song features vocals from American rapper Lil Uzi Vert , and was produced by Metro Boomin , with co-production by G Koop . Lil Uzi Vert Lil Uzi Vert Metro Boomin Metro Boomin produced Hip hop production",SUPPORTS
Katie Stevens was rejected from appearing on American Idol at all.,"Katherine Mari `` Katie '' Stevens -LRB- born December 8 , 1992 -RRB- is an American actress and singer best known for finishing in eighth place on the ninth season of American Idol and starring as Karma Ashcroft in the MTV series Faking It . singer singing ninth season American Idol (season 9) American Idol American Idol MTV MTV Faking It Faking It (2014 TV series)",REFUTES
Ariana Grande's second studio album was released in 2014.,"The title track debuted at number 10 on the Billboard Hot 100 , making Grande the first person in the history of that chart to have the lead single from each of her first three albums debut in the top 10 . The title track Dangerous Woman (song)",SUPPORTS
Burundi is one of the smallest countries in northern Africa.,"In addition to poverty , Burundians often have to deal with corruption , weak infrastructure , poor access to health and education services , and hunger .",SUPPORTS
Hypothyroidism can prevent poor ability to tolerate cold.,"It can cause a number of symptoms , such as poor ability to tolerate cold , a feeling of tiredness , constipation , depression , and weight gain . constipation constipation depression Depression (mood)",REFUTES
The Philippines is an archipelago in the Pacific Ocean.,"The Philippines -LRB- -LSB- ˈfɪlᵻpiːnz -RSB- Pilipinas -LSB- ˌpɪlɪˈpinɐs -RSB- -RRB- , officially the Republic of the Philippines -LRB- -LSB- Republika ng Pilipinas , links = no -RSB- -RRB- , is a sovereign island country in Southeast Asia situated in the western Pacific Ocean . sovereign sovereign state island country island country Southeast Asia Southeast Asia Asia Asia During this time , Manila became the western hub of the trans-Pacific trade connecting Asia with Acapulco in the Americas using Manila galleons . Manila Manila trade Spanish treasure fleet Asia Asia Acapulco Acapulco Americas Americas",SUPPORTS
Extracorporeal shockwave therapy (ESWT) is used in Virginia.,,NEI
Gone with the Wind is a novel.,"Gone with the Wind is a novel by American writer Margaret Mitchell , first published in 1936 . Margaret Mitchell Margaret Mitchell",SUPPORTS
Statue of Liberty is an icon of liberty.,A broken chain lies at her feet . Libertas -LRB- Latin for Liberty -RRB- is the Roman goddess and embodiment of liberty . Latin Latin language Roman goddess Roman mythology embodiment of liberty Liberty (goddess),SUPPORTS
Ink Master is an event.,,NEI
Sunrise devised an anime spearheaded by Mitsuo Fukuda.,,NEI
The United States Environmental Protection Agency's establishment was proposed only by Steve Harvey.,"President Richard Nixon proposed the establishment of EPA and it began operation on December 2 , 1970 , after Nixon signed an executive order . Richard Nixon Richard Nixon executive order executive order President President of the United States",REFUTES
"The Vampire Diaries concluded on March 14, 2017.",,NEI
Will Ferrell is considered a member of the Illuminati.,,NEI
Sister Act has an all-male cast.,"Featuring musical arrangements by Marc Shaiman , the film stars Whoopi Goldberg as a Reno lounge singer who has been put under protective custody in a San Francisco convent of Poor Clares and has to pretend to be a nun when a mob boss puts her on his hit list . Whoopi Goldberg Whoopi Goldberg Marc Shaiman Marc Shaiman musical Musical film Reno Reno, Nevada protective custody protective custody San Francisco San Francisco convent convent Poor Clares Poor Clares nun nun Caryn Elaine Johnson -LRB- born November 13 , 1955 -RRB- , known professionally as Whoopi Goldberg -LRB- -LSB- ˈwhʊpi -RSB- -RRB- , is an American actress , comedian , author and television host . television television Also in the cast are Maggie Smith , Kathy Najimy , Wendy Makkena , Mary Wickes , and Harvey Keitel . Maggie Smith Maggie Smith Harvey Keitel Harvey Keitel Kathy Najimy Kathy Najimy Wendy Makkena Wendy Makkena Mary Wickes Mary Wickes Dame Margaret Natalie Smith , -LRB- born 28 December 1934 -RRB- , known as Maggie Smith , is an English actress . Dame Dame Commander of the Order of the British Empire",REFUTES
Josh Homme had been involved with Iggy Pop.,,SUPPORTS
Star Wars: The Force Awakens is a store.,"Star Wars : The Force Awakens -LRB- also known as Star Wars : Episode VII -- The Force Awakens -RRB- is a 2015 American epic space opera film directed , co-produced , and co-written by J. J. Abrams . J. J. Abrams J. J. Abrams epic Epic film space opera film Space opera Star Wars Star Wars The direct sequel to 1983 's Return of the Jedi , The Force Awakens is the first installment of the Star Wars sequel trilogy , and stars Harrison Ford , Mark Hamill , Carrie Fisher , Adam Driver , Daisy Ridley , John Boyega , Oscar Isaac , Lupita Nyong ` o , Andy Serkis , Domhnall Gleeson , Anthony Daniels , Peter Mayhew , and Max von Sydow . Harrison Ford Harrison Ford Mark Hamill Mark Hamill Carrie Fisher Carrie Fisher Adam Driver Adam Driver Daisy Ridley Daisy Ridley John Boyega John Boyega Oscar Isaac Oscar Isaac Andy Serkis Andy Serkis Domhnall Gleeson Domhnall Gleeson Anthony Daniels Anthony Daniels Peter Mayhew Peter Mayhew Max von Sydow Max von Sydow Return of the Jedi Return of the Jedi Star Wars Star Wars sequel trilogy Star Wars sequel trilogy Produced by Lucasfilm Ltd. and Abrams ' production company Bad Robot Productions and distributed worldwide by Walt Disney Studios Motion Pictures , The Force Awakens marks a break in creative control from the original series as the first Star Wars film not produced by franchise creator George Lucas . George Lucas George Lucas Bad Robot Productions Bad Robot Productions Star Wars Star Wars Walt Disney Studios Motion Pictures Walt Disney Studios Motion Pictures Set 30 years after Return of the Jedi , it follows Rey , Finn and Poe Dameron 's search for Luke Skywalker and their fight alongside the Resistance , led by veterans of the Rebel Alliance , against Kylo Ren and the First Order , a successor organization to the Galactic Empire . Return of the Jedi Return of the Jedi Rey Rey (Star Wars) Finn Finn (Star Wars) Poe Dameron Poe Dameron Luke Skywalker Luke Skywalker Rebel Alliance Rebel Alliance Kylo Ren Kylo Ren First Order First Order (Star Wars) Galactic Empire Galactic Empire (Star Wars) Lucas served as creative consultant during the film 's early production . creative consultant creative consultant",REFUTES
Take a Bow was released by Motown Records.,"It was released as the album 's second single on November 29 , 1994 , by Maverick Records . Maverick Maverick Records single single (music) Maverick Records Maverick Records",REFUTES
Jon Pertwee was in a series produced for ITV and he acted.,,NEI
Mariah Carey was named on the 27th.,,NEI
Bill Gates is a murderer.,,NEI
Andrew Garfield is fully German.,"Andrew Russell Garfield -LRB- born 20 August 1983 -RRB- is a British-American actor . British-American British Americans Born in Los Angeles and raised in Epsom , Surrey , Garfield began his career on the UK stage and in television productions . Los Angeles Los Angeles Epsom Epsom",REFUTES
Amaze Entertainment was successful.,,NEI
Down syndrome was discovered by John Langdon Down.,,SUPPORTS
The Outcasts is a 1993 film.,"Originally titled The Outskirts , filming took place between July and August 2014 .",REFUTES
Keith Urban is a person who sings.,,NEI
Moses Malone won Most Valuable Player.,"The center was named the NBA Most Valuable Player -LRB- MVP -RRB- three times and was a 12-time NBA All-Star and an eight-time All-NBA selection . NBA Most Valuable Player NBA Most Valuable Player Award NBA All-Star NBA All-Star center Center (basketball) All-NBA All-NBA Malone was traded to Philadelphia the following season , when he repeated as MVP and led the 76ers to a championship in his first year . In his first of two stints with Philadelphia , he was an All-Star in each of his four seasons . Following another trade , Malone was an All-Star in his only two seasons with the Washington Bullets -LRB- known later as the Wizards -RRB- . Washington Bullets Washington Bullets Malone won his only NBA championship in 1983 , when he was both the league and Finals MVP with the Philadelphia 76ers . Philadelphia 76ers Philadelphia 76ers NBA championship NBA championship Finals MVP Bill Russell NBA Finals Most Valuable Player Award",SUPPORTS
Francois de Belleforest translated the works of Cicero for Goethe.,Johann Wolfgang von Goethe -LRB- -LSB- ˈgɜːrtə -RSB- -LSB- ˈjoːhan ˈvɔlfɡaŋ fɔn ˈɡøːtə -RSB- ; 28 August 1749 -- 22 March 1832 -RRB- was a German writer and statesman . statesman politician August August Schlegel,REFUTES
Scooby-Doo is a Hanna Barbera cartoon.,", was created for Hanna-Barbera Productions by writers Joe Ruby and Ken Spears in 1969 . Joe Ruby Joe Ruby Ken Spears Ken Spears Hanna-Barbera Productions Hanna-Barbera",SUPPORTS
Novak Djokovic was born in August.,"Novak Djokovic -LRB- Новак Ђоковић , Novak Đoković , -LSB- nôʋaːk d͡ʑôːkoʋit͡ɕ -RSB- ; born 22 May 1987 -RRB- , often referred to by the hypocorism Nole , is a Serbian professional tennis player who is currently ranked world No. 2 in men 's singles tennis by the Association of Tennis Professionals -LRB- ATP -RRB- . hypocorism hypocorism tennis tennis Association of Tennis Professionals Association of Tennis Professionals",REFUTES
Champion was released in 1959.,Champion is a 1949 American film noir drama sport film based on a short story by Ring Lardner . Ring Lardner Ring Lardner film noir film noir,REFUTES
"Marshall McLuhan's gravestone was embossed the term ""global village.""",,NEI
Paul Newman and A.E. Hotchner founded a food company.,"He was also a co-founder of Safe Water Network , a nonprofit that develops sustainable drinking water solutions for those in need . Safe Water Network Safe Water Network Newman 's Own is a food company founded by actor Paul Newman and author A.E. Hotchner in 1982 . Paul Newman Paul Newman A.E. Hotchner A.E. Hotchner",SUPPORTS
Bedazzled (2000 film) stars an immigrant.,,NEI
The Kitti's hog-nosed bat belongs to the order Chiroptera.,,NEI
Quebec is a region.,"It also shares maritime borders with Nunavut , Prince Edward Island , and Nova Scotia . Nunavut Nunavut Prince Edward Island Prince Edward Island Nova Scotia Nova Scotia The Nord-du-Québec region , occupying the northern half of the province , is sparsely populated and inhabited primarily by Aboriginal peoples . Québec Quebec City province Provinces and territories of Canada Nord-du-Québec Nord-du-Québec Aboriginal peoples Aboriginal peoples in Canada",SUPPORTS
Episodes of Game of Thrones (season 3) took approximately 50 to 60 minutes to film.,,NEI
Carrie Fisher worked with Hal Ashby.,,NEI
Marshall McLuhan closely followed media discourse.,,NEI
Dwayne Johnson won the U.S. Presidential election five times.,,NEI
Natalie Portman portrayed a dog.,,NEI
Edward Norton is an environmental activist.,He ran in the 2009 New York City Marathon to raise money for the Trust . New York City Marathon New York City Marathon,SUPPORTS
Hannibal was a key figure in the Second Punic War.,Hannibal occupied much of Italy for 15 years but was unable to march on Rome . Italy Italy,SUPPORTS
The Dark Knight (film) made under $1 billion.,,REFUTES
Selena Gomez's middle name is not Marie.,"Selena Marie Gomez -LRB- -LSB- səˈliːnə_məˈɹiː_ˈɡoʊmɛz -RSB- ; -LSB- seˈlena ˈɣomes -RSB- ; born July 22 , 1992 -RRB- is an American actress and singer .",REFUTES
Slovakia is a nation.,"Slovakia -LRB- listen -RRB- , is a landlocked country in Central Europe . landlocked country landlocked country Central Europe Central Europe A landlocked state or landlocked country is a sovereign state entirely enclosed by land , or whose only coastlines lie on closed seas . sovereign state sovereign state closed seas endorheic basin",SUPPORTS
Moana received critical acclaim for the song How Far I'll Go.,,SUPPORTS
Maggie Gyllenhaal was nominated for a BIFA Award in 2015.,,NEI
Red Hot Chili Peppers formed in 1407.,"Red Hot Chili Peppers , also sometimes shortened to The Chili Peppers or abbreviated as RHCP , are an American alternative rock/funk rock band formed in Los Angeles in 1983 . alternative rock alternative rock funk rock funk rock Los Angeles Los Angeles funk funk",REFUTES
Jimmy Carter was a politician.,"James Earl Carter Jr. -LRB- born October 1 , 1924 -RRB- is an American politician who served as the 39th President of the United States from 1977 to 1981 . politician politician 39th President of the United States List of Presidents of the United States A member of the Democratic Party , he served as the Governor of Georgia prior to his election as president . Democratic Democratic Party (United States) Democratic Party Democratic Party (United States) Governor List of Governors of Georgia Georgia Georgia (U.S. state) He served as governor from 1971 to 1975 . Despite being little-known outside of Georgia at the start of the campaign , Carter won the 1976 Democratic presidential nomination . Democratic Democratic Party (United States) Georgia Georgia (U.S. state) 1976 Democratic presidential nomination Democratic Party presidential primaries, 1976 In the general election , Carter defeated incumbent Republican President Gerald Ford in a relatively close election . Gerald Ford Gerald Ford general election United States presidential election, 1980 Republican Republican Party (United States)",SUPPORTS
Eddie Redmayne danced on stage.,,NEI
George Foreman is a two-time Olympic gold medalist.,,NEI
Miss Peregrine's Home for Peculiar Children is a motion picture.,,NEI
J. K. Rowling had a daughter named Jessica.,,NEI
Paul Walker married an American.,,NEI
Bahrain is a Berber author.,"Bahrain -LRB- -LSB- bɑːˈreɪn -RSB- البحرين -RRB- , officially the Kingdom of Bahrain , is a small Arab monarchy in the Arabian Gulf . Arab Arab Arabian Gulf Arabian Gulf It is an island country consisting of a small archipelago centered around Bahrain Island , situated between the Qatar peninsula and the north eastern coast of Saudi Arabia , to which it is connected by the 25 km King Fahd Causeway . King King island country island country archipelago archipelago Bahrain Island Bahrain Island Qatar Qatar Saudi Arabia Saudi Arabia King Fahd Causeway King Fahd Causeway Bahrain 's population is 1,234,571 -LRB- c. 2010 -RRB- , including 666,172 non-nationals . It is 780 km2 in size , making it the third smallest nation in Asia after the Maldives and Singapore . smallest nation List of sovereign states and dependencies by area Maldives Maldives Singapore Singapore Bahrain was one of the earliest areas to convert to Islam -LRB- 628 -RRB- . Islam Islam",REFUTES
Joe Biden was the ninth-youngest senator in US history.,He was a long-time member and former chairman of the Foreign Relations Committee . Foreign Relations Committee United States Senate Committee on Foreign Relations,REFUTES
"In January, Thomas DeSimone disappeared.","Thomas Anthony DeSimone -LRB- May 24 , 1950 -- disappeared January 14 , 1979 -RRB- , also known as Two-Gun Tommy or Tommy D , was a Sicilian-American gangster and associate of the Lucchese crime family in New York City . Lucchese crime family Lucchese crime family New York City New York City New York New York (state) Sicilian-American Sicilian-American gangster gangster",SUPPORTS
Jon Huntsman Jr. has not served in at least two different presidencies.,"He has served in the administrations of five U.S. Presidents and was a candidate for the 2012 Republican presidential nomination . Republican Republican Party (United States) U.S. Presidents President of the United States 2012 Republican presidential nomination Republican Party presidential primaries, 2012 In 2009 , he was appointed United States Ambassador to China by Barack Obama . United States Ambassador to China United States Ambassador to China Barack Obama Barack Obama China China He also served as CEO of his family-owned Huntsman Corporation and chairman of the Huntsman Cancer Foundation . CEO CEO Huntsman Corporation Huntsman Corporation Huntsman Cancer Foundation Huntsman Cancer Foundation Under his leadership , Utah was named the best managed state in America by the Pew Center on the States . Utah Utah Pew Center on the States The Pew Charitable Trusts Later as Deputy U.S. Trade Representative under George W. Bush , he launched global trade negotiations in Doha in 2001 and guided the accession of China into the World Trade Organization . China China Deputy U.S. Trade Representative United States Trade Representative George W. Bush George W. Bush Doha Doha World Trade Organization World Trade Organization",SUPPORTS
Beauty Shop lacks a songwriter.,,NEI
Mother Teresa's feast day is September 5.,,SUPPORTS
Vedanta excludes sub-traditions espousing dualism.,"Rather it is an umbrella term for many sub-traditions , ranging from dualism to non-dualism , all of which developed on the basis of a common textual connection called the Prasthanatrayi . dualism dualism non-dualism Advaita Prasthanatrayi Prasthanatrayi",REFUTES
Nelson Mandela was a communist.,"In 1962 , he was arrested for conspiring to overthrow the state and sentenced to life imprisonment in the Rivonia Trial . Rivonia Trial Rivonia Trial",SUPPORTS
Gorgeous Ladies of Wrestling is a wrestling promotion for women.,"Gorgeous Ladies of Wrestling , also known as GLOW or G.L.O.W. , is a women 's professional wrestling promotion begun in 1986 -LRB- the pilot was filmed in December 1985 -RRB- and continued in various forms after it left television . promotion professional wrestling promotion television television",SUPPORTS
The largest urban area of Australia is the city with the smallest population in Australia and Oceania.,"Australia 's capital is Canberra , and its largest urban area is Sydney . Canberra Canberra Sydney Sydney urban area List of cities in Australia by population Sydney is the state capital of New South Wales and the most populous city in Australia and Oceania . state capital List of Australian capital cities New South Wales New South Wales most populous city List of cities in Australia by population Australia Australia Oceania Oceania",REFUTES
Adam Driver was in Atonement.,,NEI
Ederson Moraes is from Recife.,,NEI
"Troy Baker's indie band released the song ""Burning Out.""",,SUPPORTS
There is a specific order to the recording of a mixtape.,"A mixtape -LRB- also mix-tape or mix tape -RRB- is a home-made compilation of music -LRB- typically copyrighted songs taken from other sources -RRB- recorded in a specific order , traditionally onto a cassette tape , though later replaced by CD or MP3 playlist formats . cassette tape cassette tape MP3 MP3 playlist playlist",SUPPORTS
Silk was not the major trade item on the Silk Road.,The Chinese took great interest in the safety of their trade products and extended the Great Wall of China to ensure the protection of the trade route . Great Wall of China Great Wall of China Chinese Chinese people,REFUTES
Dragon is derived from the Greek.,,SUPPORTS
Matt Damon was in a movie.,"Damon has received various accolades , including an Academy Award from five nominations , two Golden Globe Awards from eight nominations , and has been nominated for two British Academy Film Awards and six Emmy Awards . various accolades List of awards and nominations received by Matt Damon Academy Award Academy Award Golden Globe Awards Golden Globe Awards British Academy Film Awards British Academy Film Awards Emmy Awards Emmy Awards Academy Academy Award for Best Original Screenplay Golden Globe Golden Globe Award for Best Screenplay He continued to garner praise from critics for his roles as the eponymous character in Saving Private Ryan -LRB- 1998 -RRB- , the antihero in The Talented Mr. Ripley -LRB- 1999 -RRB- , a fallen angel in Dogma -LRB- 1999 -RRB- , an energy analyst in Syriana -LRB- 2005 -RRB- , and a corrupt Irish-American police officer in The Departed -LRB- 2006 -RRB- . Saving Private Ryan Saving Private Ryan antihero antihero The Talented Mr. Ripley The Talented Mr. Ripley (film) fallen angel fallen angel Dogma Dogma (film) Syriana Syriana Irish-American Irish-American The Departed The Departed Damon is also known for his starring roles as Jason Bourne in the Bourne franchise -LRB- 2002 -- 16 -RRB- and as a con man in the Ocean 's Trilogy -LRB- 2001 -- 07 -RRB- . Jason Bourne Jason Bourne For his supporting role as the rugby player Francois Pienaar in Invictus -LRB- 2009 -RRB- and his leading role as an astronaut stranded on Mars in The Martian -LRB- 2015 -RRB- , Damon received Oscar nominations for Best Supporting Actor and Best Actor , respectively . Francois Pienaar Francois Pienaar Invictus Invictus (film) astronaut astronaut Mars Mars The Martian The Martian (film) Best Supporting Actor Academy Award for Best Supporting Actor He also received an Oscar nomination for producing Manchester by the Sea -LRB- 2016 -RRB- . Oscar nomination Academy Award for Best Picture Manchester by the Sea Manchester by the Sea (film)",SUPPORTS
Bruce Springsteen was named MusiCares' person of the decade.,,NEI
"In 2015, Amazon became a more valuable retailer than Walmart.",,SUPPORTS
Selena Gomez's fourth solo album is called Revival.,Revival is the second studio album by American singer Selena Gomez . Selena Gomez Selena Gomez,REFUTES
Brigitte Macron is the wife of the President of the French Republic.,"Brigitte Marie-Claude Macron -LRB- -LSB- bri.ʒit ma.ʁi klodə ma.kʁɔ -RSB- ; née Trogneux , -LSB- tʁɔ.ɲø -RSB- , previously Auzière , -LSB- o.zjɛːʁ -RSB- ; born 13 April 1953 -RRB- is a high-school teacher and the wife of Emmanuel Macron , the President of the French Republic . Emmanuel Macron Emmanuel Macron President President of France French Republic France",SUPPORTS
Alexandra Burke is a voice actor.,Alexandra Imelda Cecelia Ewen Burke -LRB- born 25 August 1988 -RRB- is a British singer-songwriter and voice actor .,SUPPORTS
Islam is a region.,"الإسلام , -LSB- alʔisˈlaːm -RSB- -RRB- is an Abrahamic monotheistic religion which professes that there is only one and incomparable God -LRB- Allah -RRB- and that Muhammad is the last messenger of God . Abrahamic Abrahamic religions monotheistic monotheism religion religion one and incomparable God Tawhid Allah Allah Muhammad Muhammad last messenger Khatam an-Nabiyyin God God in Islam It is the world 's second-largest religion and the fastest-growing major religion in the world , with over 1.8 billion followers or 24.1 % of the global population , known as Muslims . religion religion fastest-growing major religion in the world Growth of religion",REFUTES
Cleopatra was queen of Egypt.,,NEI
Planet of the Apes is a sci-fi film.,Planet of the Apes is a 1968 American science fiction film directed by Franklin J. Schaffner . Franklin J. Schaffner Franklin J. Schaffner Planet of the Apes Planet of the Apes (2001 film) science fiction film science fiction film,SUPPORTS
Lion features Dev Patel in the opening scene.,,NEI
The Flash is unrelated to Barry Allen.,"It is based on the DC Comics character Barry Allen / Flash , a costumed superhero crime-fighter with the power to move at superhuman speeds . DC Comics DC Comics Barry Allen / Flash Flash (Barry Allen)",REFUTES
Stanley Tucci never won an Emmy.,.,REFUTES
Lockheed Martin F-22 Raptor is an advance aircraft for strategic fighting.,,NEI
Martina Navratilova is only American.,"Martina Navratilova -LRB- Martina Navrátilová -LSB- ˈmarcɪna ˈnavraːcɪlovaː -RSB- ; born Martina Šubertová -LSB- ˈmarcɪna ˈʃubɛrtovaː -RSB- ; October 18 , 1956 -RRB- is a Czech and American retired tennis player and coach . tennis tennis Czech Czech republic",REFUTES
Shraddha Kapoor was directed by M. Night Shyamalan.,,NEI
James Marsden starred in a film.,"He gained prominence with his portrayal of Scott Summers/Cyclops in the X-Men film series and starred in 2006 's Superman Returns . Scott Summers/Cyclops Cyclops (comics) Superman Returns Superman Returns He also returned to television guest-starring in Modern Family and playing Liz Lemon 's love interest , Criss Chros in 30 Rock in a supporting role . television television Modern Family Modern Family Liz Lemon Liz Lemon Criss Chros List of 30 Rock characters 30 Rock 30 Rock He 's had starring roles in family-friendly films such as Enchanted and Hop and leading man roles in 27 Dresses and The Best of Me . Enchanted Enchanted (2007 film) Hop Hop (film) 27 Dresses 27 Dresses The Best of Me The Best of Me (film)",SUPPORTS
The Twilight Saga has a star.,,NEI
Bruce Willis is a guitarist.,,NEI
Timothy Olyphant was an American citizen.,"Timothy David Olyphant -LRB- -LSB- ˈɔːlʌfɪnt -RSB- ; born May 20 , 1968 -RRB- is an American actor and producer .",SUPPORTS
Guardians of the Galaxy had Kevin Feige as a director.,"The film was directed by James Gunn , who wrote the screenplay with Nicole Perlman , and features an ensemble cast including Chris Pratt , Zoe Saldana , Dave Bautista , Vin Diesel , Bradley Cooper , Lee Pace , Michael Rooker , Karen Gillan , Djimon Hounsou , John C. Reilly , Glenn Close , and Benicio del Toro . James Gunn James Gunn Nicole Perlman Nicole Perlman Chris Pratt Chris Pratt Zoe Saldana Zoe Saldana Dave Bautista Dave Bautista Vin Diesel Vin Diesel Bradley Cooper Bradley Cooper Lee Pace Lee Pace Michael Rooker Michael Rooker Karen Gillan Karen Gillan Djimon Hounsou Djimon Hounsou John C. Reilly John C. Reilly Glenn Close Glenn Close Benicio del Toro Benicio del Toro ensemble cast ensemble cast",REFUTES
San Francisco is in Southern California.,"San Francisco -LRB- initials SF -RRB- -LRB- -LSB- sæn_frənˈsɪskoʊ -RSB- , Spanish for Saint Francis ; Spanish : -LSB- san franˈsisko -RSB- -RRB- , officially the City and County of San Francisco , is the cultural , commercial , and financial center of Northern California . California California Spanish Spanish language Saint Francis Francis of Assisi Northern California Northern California",REFUTES
Minions is the sixth highest-grossing film of all time.,"Minions is a 2015 American computer-animated comedy film , serving as a spin-off/prequel to the Despicable Me franchise . computer-animated Computer animation comedy film comedy film spin-off Spin-off (media) prequel prequel",REFUTES
Neal Schon has a former name called Blue.,,NEI
Daft Punk released their debut album in 1993.,"In March 2005 , the duo released their third album Human After All to mixed reviews . Human After All Human After All Homework is the debut studio album by the French electronic music duo Daft Punk , released on 20 January 1997 by Virgin Records and Soma Quality Recordings . Daft Punk Daft Punk Virgin Virgin Records Soma Soma Quality Recordings studio album studio album electronic music electronic music Virgin Records Virgin Records Soma Quality Recordings Soma Quality Recordings",REFUTES
Ted Bundy received three death sentences for the Florida homicides.,"Attorney Polly Nelson , a member of his last defense team , agreed : `` Ted '' , she wrote , `` was the very definition of heartless evil . '' Polly Nelson Polly Nelson",SUPPORTS
Big Show is signed to a professional wrestling promotion.,,NEI
The terrain of Kazakhstan includes taiga.,.,SUPPORTS
Carice van Houten's full name is not Carice Anouk van Houten.,Carice Anouk van Houten -LRB- -LSB- kaːˈris ɑˈnuk vɑn ˈɦʌu̯tə -LRB- n -RRB- -RSB- ; born 5 September 1976 -RRB- is a Dutch actress and singer . Dutch Netherlands actress actress,REFUTES
John Connally was a Governor of Texas.,"As a Democrat he served as Secretary of the Navy under President John F. Kennedy , as the 39th Governor of Texas , and as Secretary of the Treasury under President Richard Nixon . Richard Nixon Richard Nixon Governor of Texas Governor of Texas John F. Kennedy John F. Kennedy Texas Texas Democrat Democratic Party (United States) Secretary of the Navy Secretary of the Navy Secretary of the Treasury Secretary of the Treasury Kennedy John F. Kennedy President President of the United States",SUPPORTS
Robert Redford was in The Beverly Hillbillies.,,NEI
"Pranab Mukherjee was born on December 11th, 1935.","` Pranab Kumar Mukherjee -LRB- born 11 December 1935 -RRB- is the 13th and current President of India , he has been in office since July 2012 . 13th List of Presidents of India President of India President of India India India",SUPPORTS
The Offspring's third studio dog is Smash.,,NEI
The Beach Boys were co-founded by the president.,"The group 's original lineup consisted of brothers Brian , Dennis , and Carl Wilson ; their cousin Mike Love ; and their friend Al Jardine . Mike Love Mike Love Al Jardine Al Jardine Carl Wilson Carl Wilson original lineup The Beach Boys lineups Brian Brian Wilson Dennis Dennis Wilson",REFUTES
Nineteen Eighty-Four received number 13 on the Times' bestseller list.,,NEI
Paul Simon was inducted into the club.,,NEI
Yelp expanded throughout Europe in January 2017.,,NEI
Adolf Hitler's fashion was racially motivated.,,NEI
